city_id,user_id,total_flow
6081949,27235,1.0847568E8
6081949,27746,7.6065458E7
6081949,18945,5.5304049E7
6281949,15118,1.49311909E8
6281949,11397,1.24293438E8
6281949,25814,1.04428054E8
6301949,2429,1.09171121E8
6301949,26825,9.537403E7
6301949,10932,7.4016744E7
6411949,662,7.5162566E7
6411949,21030,4.9933641E7
6411949,16769,4.9383506E7
6412149,22585,2.00516731E8
6412149,14472,1.3826279E8
6412149,25147,7.0594902E7
6481949,12026,5.1161825E7
6481949,670,4.9626204E7
6481949,14877,3.4488733E7
6581949,9494,3.8854436E7
6581949,26876,2.3449539E7
6581949,21761,2.113644E7
